Province,Year,Number of projects,Total registered capital (Mill. USD),Income,Poverty Rate,Number of Enterprises,Employment Rate,Trained Labour Rate,Governance Score,Quintile 1,Quintile 2,Quintile 3,Quintile 4,Quintile 5,Ratio,Index of Industrial Output,RuralPop,UrbanPop,UrbanPercent,RuralPercent
Hà Nội,2011,2253,23596000000,2013000,4.3,72455,52.1,30.6,36.41,542,981,1470,2239,4834,8.918819188,105.1,3867900,2857800,0.424907445,0.575092555
Hà Nội,2013,2702,22404000000,2945000,2.9,86014,52.9,36.2,37.16,804,1560,2271,3255,6829,8.493781095,104.5,4150500,2826500,0.405116812,0.594883188
Hà Nội,2014,3051,23824700000,4112000,2.3,91428,52,38.4,35.8,1223,2049,2868,4052,10380,8.487326247,104.2,3939900,3156000,0.444763878,0.555236122
Hà Nội,2015,3467,25490900000,4113000,1.8,103659,52,43.8,34.1,1224,2048,2864,4046,10368,8.470588235,108.3,3783100,3650500,0.491081038,0.508918963
Hà Nội,2016,3960,25748800000,5057000,1.4,110169,51.2,42.7,33.81,1510,2622,3576,4798,12791,8.470860927,107.3,3857700,3733000,0.491786001,0.508213999
Hà Nội,2017,4500,27638000000,4875000,1.3,133981,50.7,44.2,34.63,1390,2622,3576,4857,11941,8.590647482,107,3932200,3810000,0.492108186,0.507891814
Hà Nội,2018,5110,33134700000,6054000,0.9,143119,50.4,42,35.42,1558,3528,4680,6301,14225,9.13029525,106.9,4009600,3904800,0.493379157,0.506620843
Hà Nội,2019,5970,34343700000,6403000,0.7,155940,50,48.1,34.96,1529,3637,5600,7253,14008,9.161543492,108.5,4093600,4000300,0.4942364,0.5057636
Hà Nội,2020,6382,36236700000,6205000,0.5,165875,49,48.5,35.75,2084,3829,5145,7087,12913,6.196257198,104.7,4185500,4061100,0.492457498,0.507542502
Hà Nội,2021,6700,37582100000,6002000,0.4,178493,46.1,50.3,37.68,1998,3381,4544,7471,12631,6.321821822,104.8,4235500,4095400,0.491591545,0.508408455
Vĩnh Phúc,2011,143,2273600000,1232000,8.8,2339,59,15.1,35.78,419,684,995,1395,2659,6.346062053,117.4,778600,232800,0.230175994,0.769824006
Vĩnh Phúc,2013,166,2774200000,1867000,6,2682,59,20.5,37.76,629,1092,1526,2018,4060,6.454689984,114,785600,243800,0.236836992,0.763163008
Vĩnh Phúc,2014,210,3181700000,2377000,4.9,2762,60,20.7,37.55,796,1393,1904,2679,5140,6.457286432,97.1,799000,242900,0.233131779,0.766868222
Vĩnh Phúc,2015,268,3781500000,2378000,3.7,2895,57.2,22.3,35.57,794,1391,1902,2672,5122,6.450881612,101.6,836100,254200,0.23314684,0.76685316
Vĩnh Phúc,2016,266,3874700000,2847000,5.1,3731,58.2,19.7,35.42,962,1730,2318,3067,6280,6.528066528,105.8,848300,257900,0.233140481,0.766859519
Vĩnh Phúc,2017,312,4038100000,2860000,4.5,5674,54.8,22.1,35.89,957,1730,2318,3067,6280,6.562173459,107.5,861400,261700,0.23301576,0.76698424
Vĩnh Phúc,2018,365,4527100000,3698000,3.4,6398,54.6,22.4,37.62,1096,2316,3092,4079,7939,7.243613139,114.5,853200,285200,0.250527056,0.749472945
Vĩnh Phúc,2019,417,5078900000,4086000,2.9,7069,55.2,24.9,37,1186,2740,3453,4455,8637,7.282462057,111.1,859600,295200,0.25562868,0.74437132
Vĩnh Phúc,2020,451,5271800000,4290000,2.5,7758,53.1,28.6,37.77,2009,3063,3608,4542,8277,4.119960179,99.4,820300,351000,0.299667037,0.700332963
Vĩnh Phúc,2021,477,6518200000,4511000,2.3,8322,47.8,34.7,31.73,1865,3012,3839,4949,8916,4.780697051,111.4,833500,358300,0.300637691,0.699362309
Bắc Ninh,2011,251,2957000000,1646000,5.9,3354,55.1,18.9,35.14,534,918,1231,1637,3899,7.301498127,105.8,784400,276000,0.26027914,0.73972086
Bắc Ninh,2013,416,5890900000,2502000,3.6,3915,56.7,20.4,36.93,805,1424,1901,2526,5831,7.243478261,149.2,818800,289300,0.26107752,0.73892248
Bắc Ninh,2014,566,7668600000,3748000,2.6,4303,57.1,21.1,35.25,1259,2053,2731,3617,9120,7.243844321,87.5,819800,311400,0.275282885,0.724717115
Bắc Ninh,2015,721,11328300000,3512000,2.1,4492,57.7,21.4,39.04,1255,2045,2710,3375,8160,6.501992032,112,882400,336100,0.27583094,0.72416906
Bắc Ninh,2016,936,12572500000,4346000,1.9,5318,55.6,23.4,38.03,1553,2530,3282,4314,10092,6.498390212,105.1,912400,345500,0.274664123,0.725335877
Bắc Ninh,2017,1138,16178400000,4308000,1.4,8622,55.7,22.4,39.2,1505,2530,3282,4349,9916,6.588704319,135.5,942500,355300,0.273770997,0.726229003
Bắc Ninh,2018,1304,17289000000,5445000,1.1,9915,55.2,28,37.65,1802,3263,4214,5653,12489,6.93063263,107.4,971700,365600,0.273386675,0.726613325
Bắc Ninh,2019,1518,18962200000,5714000,0.8,11349,55.1,28,36.28,1768,3448,4911,6192,12284,6.947963801,88.6,997700,380900,0.276294792,0.723705208
Bắc Ninh,2020,1635,19812700000,5439000,0.7,12769,53.5,27.8,38.69,2424,3659,4674,6117,10366,4.27640264,103.9,972600,446600,0.314684329,0.685315671
Bắc Ninh,2021,1717,22485200000,4917000,0.6,13944,51,33.5,0,1925,3222,4296,5573,9595,4.984415584,109.3,926800,536100,0.366463873,0.633536127
Quảng Ninh,2011,95,3794000000,1787000,6.5,3451,57,28.3,34.91,471,975,1522,2152,3812,8.093418259,80.1,558600,608400,0.521336761,0.478663239
Quảng Ninh,2013,104,4590600000,2557000,4.3,3827,59.4,32.5,33.89,689,1383,2171,3039,5483,7.957910015,102.3,456200,731200,0.615799225,0.384200775
Quảng Ninh,2014,113,5237300000,3052000,4.1,3794,57.5,36.1,34.85,820,1879,2610,3455,6516,7.946341463,104.7,465100,734300,0.612222778,0.387777222
Quảng Ninh,2015,111,5380700000,3053000,4,4413,55.4,31.1,35.41,816,1873,2606,3450,6507,7.974264706,105.2,508100,733500,0.590769974,0.409230026
Quảng Ninh,2016,123,5976400000,3791000,4.3,5761,54.8,34.2,32.98,1130,2120,2933,3809,9015,7.977876106,100.1,499800,761500,0.603742171,0.396257829
Quảng Ninh,2017,119,5864100000,3747000,3.8,7828,54.9,32.9,36.72,1088,2120,2933,3819,8826,8.112132353,103.1,492300,792900,0.616946779,0.383053221
